rule_id,unit,surface_form,text,marks_genuine_nk
morph.neg.bare_modifier,commit:657d82ae71c966e28c56c18adfda840d071f6c72:commit_message,n't,"fpm: Don't set --rpm-rpmbuild-define

under the hood, fpm calls rpmbuild. Under EL9, the fpm option
 worked fine and was set to the version of the
actual package. This was probably never correct. It maps to the rpm
macro . This is supposed to be used for the *rpm* version
used during the build. rpmbuild on EL10 will set 
automatically and fpm cannot provide it as well. We also set the actual
versi",
morph.neg.bare_modifier,commit:502879bc5f084ba7e3202fcbd619d9f18821d206:commit_message,n't,"Merge pull request #290 from underscorgan/maint/master/logfile-permissions-sles11

(maint) startproc doesn't manage logfile permissions",
morph.neg.bare_modifier,pr:OpenVoxProject/ezbake:2:comment_body:12,not,"Nope, I'm wrong, that is with  installed. So yeah, not sure this path is one we can rely on.",
morph.neg.bare_modifier,pr:OpenVoxProject/ezbake:8:comment_body:6,Not,"Not a real test, but I had a look at the differences. A lot of noise because of an update to the  gem and I guess the binstubs aren't deterministic.",
morph.neg.bare_modifier,commit:5272ca4f2b5cc3897ec376b8db1bf23b4244acc7:commit_message,not,"(EZ-15) Replace hard-coded path names.

This commit has a number of effects, including:

* Remove hard-coded path names in favor of functions that take path fragements
  and return File objects.
* Use clojure.java.io to access template resources which enables ezbake to be
  run from the git repository as a leiningen app OR as a plugin whose resources
  are stored in its jarfile.

(MAINT) Remove du",
morph.neg.bare_modifier,commit:cd56cd48d680335b0bbd7c51de585db9ea3c6502:commit_message,not,"(EZ-70) Modify service 'start' functionality to use new TK 'start' subcommand
start script now manages the service PID so that the init scripts can simply
call the start subcommand rather than manage the PID with magic

(EZ-56) Add reload to all ezbake service scripts

Previously the init scripts for ezbake projects did not include reload
because trapperkeeper did not support reloading application",
morph.neg.bare_modifier,commit:72c9a33a01f15cb4b24800979848d60dfac88c8c:commit_message,n't,"Merge pull request #568 from underscorgan/tickets/master/re-12523

(RE-12523) Don't set  in the service file for Debian 8",
morph.neg.bare_modifier,pr:OpenVoxProject/ezbake:27:body,not,"This ensures that EL packages have the correct java path in the systemd unit. And all packages have JAVA_BIN variable in their defaults file. This is probably required for the different CLI apps.

There's a systemd limitation that prevents us from doing something like ExecStart=$VAR.. The first argument for ExecStart= cannot be a variable.

From https://www.freedesktop.org/software/systemd/man",
morph.neg.bare_modifier,pr:OpenVoxProject/ezbake:63:body,n't,"This is our default that we configure in every repo. It ensures that this job always runs, even if previous jobs failed / weren't created at all.",
morph.neg.bare_modifier,commit:bcf8f011632f20a8e859686b00e54b2024953d49:commit_message,n't,"(RE-11573) Hard-code rubylibdir in install script

This commit updates the  variable used in the  script
to a hard-coded value ().
Previously, this variable was set using a call to puppet's ruby and checking
the . Now that we are using packaging as a gem,
and thus bundler, we encountered errors in this script because puppet's ruby
does not have access to our bundle. This value doesn't contain any ",
morph.neg.bare_modifier,commit:c5579fb634c5b9190e986821e93acddd191998f5:commit_message,not,"(TK-78) Do not return from init  until app is ready.

This is accomplished using netstat to detect any TCP port bindings owned by the
TK app's PID.

Signed-off-by: Wayne <wayne.com>",
morph.neg.bare_modifier,commit:62a63815d1472b6338e90a8b215276999724b85b:commit_message,n't,"Remove platform version complexity for Java version

OpenVox only supports platform 7 and 8, and we don't really need to worry about ancient el8 being weird. We build OpenVox with Java 11, so make this the base version, and ideally use 17 when available.",
morph.neg.bare_modifier,commit:60cddb8039bd256142b23b2f1b14697eae4ee417:commit_message,n't,"(maint) Additional preinstall scripts weren't added properly

It looks like we were treating  as a string in the
rpm preinst, but it's an array. Iterate over the array to get these into
the packages correctly.",
