group,messages_sampled,messages_estimated,top_lang,top_lang_pct,en_pct,year_min,year_max,n_langs
gmane.comp.audio.supercollider.user,261,13050,en,97.3,97.3,2004,2018,7
gmane.comp.compilers.llvm.devel,261,13050,en,99.6,99.6,2003,2019,2
gmane.os.openbsd.ports.cvs,260,13000,en,94.2,94.2,2002,2019,10
gmane.comp.cloud.openstack.devel,258,12900,en,100.0,100.0,2013,2018,1
gmane.comp.lang.haskell.cafe,258,12900,en,97.7,97.7,2002,2019,7
gmane.linux.redhat.fedora.testers,258,12900,en,97.7,97.7,2003,2019,5
gmane.linux.debian.user.russian,256,12800,ru,92.2,2.7,2002,2019,10
gmane.editors.vim,255,12750,en,97.3,97.3,2002,2018,7
gmane.comp.web.zope.plone.cvs,254,12700,en,94.1,94.1,2003,2017,6
gmane.linux.debian.devel.x,254,12700,en,93.7,93.7,2002,2019,10
gmane.comp.java.wicket.user,253,12650,en,98.8,98.8,2005,2018,4
gmane.emacs.orgmode,252,12600,en,98.8,98.8,2006,2019,4
gmane.music.equipment.slimdevices.plugins,252,12600,en,98.8,98.8,2005,2019,4
gmane.comp.hardware.rescue,249,12450,en,99.2,99.2,1999,2019,3
gmane.comp.kde.devel.pim.bugs,248,12400,en,85.1,85.1,2007,2019,5
gmane.comp.web.zope.plone.user,248,12400,en,98.4,98.4,2002,2015,5
gmane.comp.handhelds.openembedded.core,246,12300,en,97.2,97.2,2011,2019,4
gmane.comp.video.videolan.vlc.devel,245,12250,en,91.0,91.0,2002,2019,10
gmane.comp.php.devel,242,12100,en,99.2,99.2,2002,2019,3
gmane.linux.debian.devel.release,242,12100,en,98.3,98.3,2004,2019,5
gmane.games.freeciv.devel,241,12050,en,97.9,97.9,1998,2017,4
gmane.comp.video.ffmpeg.cvs,240,12000,en,92.5,92.5,2004,2019,8
gmane.comp.lang.javascript.jquery,239,11950,en,97.5,97.5,2006,2010,4
gmane.comp.web.squid.general,237,11850,en,95.8,95.8,2003,2019,7
